region_id,canon_region_id
6d51181a-00ea-4e4b-9bf6-4e8fb502c985,aa677d30-5a56-4521-a5b8-e48616fa82fe
96884d1d-1f90-49e8-b15a-b3eb55ade82c,
056d0344-a7a9-4fbf-bb03-d32987c6efc4,29536b8d-0f3a-47e5-b2b4-48fae5f0d91e
1af31ee7-9b9f-4688-a6bd-7213a8be94e8,29536b8d-0f3a-47e5-b2b4-48fae5f0d91e
95f49ecb-7549-4b75-9685-07a009fbf8a5,5b6924b5-e3f3-46b7-9a62-049aaead18d8
91a3b469-895d-4178-9008-f8d6bba81406,4aed8767-3637-4924-af61-5a86197e91b2
8386b833-b1f3-475e-b37c-c041611b3935,4aed8767-3637-4924-af61-5a86197e91b2
9a178965-3386-4795-981b-8405a2b8c024,4aed8767-3637-4924-af61-5a86197e91b2
07060f36-f91b-45dc-8ac1-0a654b99537b,4aed8767-3637-4924-af61-5a86197e91b2
651e8507-d4b5-4f42-b66b-c6c0313068ac,4aed8767-3637-4924-af61-5a86197e91b2
71995cf4-e6c7-4a5a-b6fb-f2d98de5c92b,4aed8767-3637-4924-af61-5a86197e91b2
51442da0-a2e7-4731-9e01-25e2388b1f8c,4aed8767-3637-4924-af61-5a86197e91b2
4d0c1d42-c59a-4a5f-a970-20dcc43fb3ca,4aed8767-3637-4924-af61-5a86197e91b2
695be3b9-530f-4dca-8f06-e64acf47eccb,4aed8767-3637-4924-af61-5a86197e91b2
9cd912e9-7a44-46f1-86e2-c619d27b3a08,61088633-783c-4e55-80ef-6ca1ebb76674
4594415f-54fe-4ad6-a5e6-3e338b5213db,e8467b37-7c84-484c-81b4-10e2429f5554
41d719cd-a027-4c05-b197-d55a58467bd0,ba62f2d1-983a-4777-b223-4ebd2054b8a2
6d1937ef-182d-40eb-b331-473c02bd82e8,ba62f2d1-983a-4777-b223-4ebd2054b8a2
9dd0b4c6-dee3-4cd1-afd6-65d54e8e922d,ba62f2d1-983a-4777-b223-4ebd2054b8a2
30106c99-4d08-41b0-aa9d-752e8fedfc93,ba62f2d1-983a-4777-b223-4ebd2054b8a2
6e2fb0bb-afb8-4eb1-90c1-298736799c96,81ebdbd3-6618-4b4d-aa03-de2f552c7b08
44421c08-d75e-4a2f-a4dd-0287c0437d80,f171e2a3-5ba9-4c2f-b80c-25d37e162e90
03a8791c-033a-4796-ac6d-f1183e7e5f80,f171e2a3-5ba9-4c2f-b80c-25d37e162e90
47ed8901-4bbc-4fa9-980b-9a8c90d550f4,2ba2fd0a-7a09-43c0-87cf-0ffab557e8ef
3844589f-aef5-46af-8a97-2ffc0f061dc7,30a0d3c6-8233-494c-8dc1-7c91699f15f9
7ce6cf3e-56a6-4a8c-b8ec-88174879f5e0,61088633-783c-4e55-80ef-6ca1ebb76674
0a46d0f6-912d-47c8-aae1-0607b54860c7,4aed8767-3637-4924-af61-5a86197e91b2
258839c7-4cc7-4500-85c6-941c5a260065,61088633-783c-4e55-80ef-6ca1ebb76674
